level,entity_name,state,year,quarter,registered_users
states,maharashtra, ,2023,2,60766850
states,uttar pradesh, ,2023,2,49829833
states,karnataka, ,2023,2,39122314
states,andhra pradesh, ,2023,2,30240061
states,rajasthan, ,2023,2,29745609
states,west bengal, ,2023,2,27827662
states,telangana, ,2023,2,27814633
states,tamil nadu, ,2023,2,27317599
states,madhya pradesh, ,2023,2,25042930
states,gujarat, ,2023,2,24396768
districts,bengaluru urban, ,2023,2,15812243
districts,pune, ,2023,2,10396344
districts,thane, ,2023,2,6552282
districts,jaipur, ,2023,2,6490210
districts,mumbai suburban, ,2023,2,6322778
districts,hyderabad, ,2023,2,5349842
districts,ahmadabad, ,2023,2,4913610
districts,rangareddy, ,2023,2,4638501
districts,north twenty four parganas, ,2023,2,4079270
districts,surat, ,2023,2,4076929
pincodes,201301, ,2023,2,883262
pincodes,110059, ,2023,2,744061
pincodes,560068, ,2023,2,680831
pincodes,421302, ,2023,2,662196
pincodes,500072, ,2023,2,589156
pincodes,122001, ,2023,2,587988
pincodes,110092, ,2023,2,577301
pincodes,110086, ,2023,2,520976
pincodes,121004, ,2023,2,509776
pincodes,201009, ,2023,2,490549
states,maharashtra, ,2023,3,63150997
states,uttar pradesh, ,2023,3,51870932
states,karnataka, ,2023,3,40634390
states,andhra pradesh, ,2023,3,31493897
states,rajasthan, ,2023,3,30997182
states,west bengal, ,2023,3,28966414
states,telangana, ,2023,3,28896668
states,tamil nadu, ,2023,3,28405436
states,madhya pradesh, ,2023,3,26109033
states,gujarat, ,2023,3,25383429
districts,bengaluru urban, ,2023,3,16382332
districts,pune, ,2023,3,10780092
districts,thane, ,2023,3,6802106
districts,jaipur, ,2023,3,6745507
districts,mumbai suburban, ,2023,3,6560867
districts,hyderabad, ,2023,3,5543537
districts,ahmadabad, ,2023,3,5105557
districts,rangareddy, ,2023,3,4809474
districts,north twenty four parganas, ,2023,3,4241525
districts,surat, ,2023,3,4238878
pincodes,201301, ,2023,3,916333
pincodes,110059, ,2023,3,772107
pincodes,560068, ,2023,3,703693
pincodes,421302, ,2023,3,688520
pincodes,122001, ,2023,3,609934
pincodes,500072, ,2023,3,609887
pincodes,110092, ,2023,3,598195
pincodes,110086, ,2023,3,540985
pincodes,121004, ,2023,3,529674
pincodes,201009, ,2023,3,509567
states,maharashtra, ,2023,4,65422120
states,uttar pradesh, ,2023,4,53799813
states,karnataka, ,2023,4,42031396
states,andhra pradesh, ,2023,4,32658698
states,rajasthan, ,2023,4,32157348
states,west bengal, ,2023,4,30064546
states,telangana, ,2023,4,29902636
states,tamil nadu, ,2023,4,29452801
states,madhya pradesh, ,2023,4,27078072
states,gujarat, ,2023,4,26312655
districts,bengaluru urban, ,2023,4,16895567
districts,pune, ,2023,4,11135186
districts,thane, ,2023,4,7044610
districts,jaipur, ,2023,4,6983265
districts,mumbai suburban, ,2023,4,6796218
districts,hyderabad, ,2023,4,5720710
districts,ahmadabad, ,2023,4,5282400
districts,rangareddy, ,2023,4,4964411
districts,north twenty four parganas, ,2023,4,4396190
districts,surat, ,2023,4,4396038
pincodes,201301, ,2023,4,948041
pincodes,110059, ,2023,4,798856
pincodes,560068, ,2023,4,727330
pincodes,421302, ,2023,4,714635
pincodes,122001, ,2023,4,630836
pincodes,500072, ,2023,4,628306
pincodes,110092, ,2023,4,617934
pincodes,110086, ,2023,4,561319
pincodes,121004, ,2023,4,549020
pincodes,201009, ,2023,4,527630
states,maharashtra, ,2023,1,58470784
states,uttar pradesh, ,2023,1,47806049
states,karnataka, ,2023,1,37681426
states,andhra pradesh, ,2023,1,29065863
states,rajasthan, ,2023,1,28523031
states,telangana, ,2023,1,26804259
states,west bengal, ,2023,1,26732895
states,tamil nadu, ,2023,1,26270663
states,madhya pradesh, ,2023,1,24002818
states,gujarat, ,2023,1,23436230
districts,bengaluru urban, ,2023,1,15290372
districts,pune, ,2023,1,10037022
districts,thane, ,2023,1,6314618
districts,jaipur, ,2023,1,6247095
districts,mumbai suburban, ,2023,1,6095695
districts,hyderabad, ,2023,1,5176899
districts,ahmadabad, ,2023,1,4734630
districts,rangareddy, ,2023,1,4483193
districts,north twenty four parganas, ,2023,1,3926974
districts,surat, ,2023,1,3919829
pincodes,201301, ,2023,1,851451
pincodes,110059, ,2023,1,716856
pincodes,560068, ,2023,1,658173
pincodes,421302, ,2023,1,636458
pincodes,500072, ,2023,1,570652
pincodes,122001, ,2023,1,566889
pincodes,110092, ,2023,1,557488
pincodes,110086, ,2023,1,500213
pincodes,121004, ,2023,1,490243
pincodes,201009, ,2023,1,472156
states,maharashtra, ,2021,2,39664697
states,uttar pradesh, ,2021,2,31651894
states,karnataka, ,2021,2,25751023
states,andhra pradesh, ,2021,2,19620905
states,rajasthan, ,2021,2,18980985
states,telangana, ,2021,2,18306880
states,west bengal, ,2021,2,17979979
states,tamil nadu, ,2021,2,17804542
states,madhya pradesh, ,2021,2,15940935
states,gujarat, ,2021,2,15735981
districts,bengaluru urban, ,2021,2,10604609
districts,pune, ,2021,2,6915820
districts,thane, ,2021,2,4290066
districts,jaipur, ,2021,2,4226231
districts,mumbai suburban, ,2021,2,4151227
districts,hyderabad, ,2021,2,3598337
districts,ahmadabad, ,2021,2,3209841
districts,rangareddy, ,2021,2,3097973
districts,north twenty four parganas, ,2021,2,2660664
districts,surat, ,2021,2,2633443
pincodes,201301, ,2021,2,577428
pincodes,110059, ,2021,2,485328
pincodes,560068, ,2021,2,455417
pincodes,421302, ,2021,2,424376
pincodes,500072, ,2021,2,398987
pincodes,122001, ,2021,2,385555
pincodes,110092, ,2021,2,383095
pincodes,110086, ,2021,2,332618
pincodes,121004, ,2021,2,328000
pincodes,560078, ,2021,2,325334
states,maharashtra, ,2021,3,42581217
states,uttar pradesh, ,2021,3,34151882
states,karnataka, ,2021,3,27614221
states,andhra pradesh, ,2021,3,21059898
states,rajasthan, ,2021,3,20499465
states,telangana, ,2021,3,19615278
states,west bengal, ,2021,3,19323278
states,tamil nadu, ,2021,3,19127440
states,madhya pradesh, ,2021,3,17210233
states,gujarat, ,2021,3,16946761
districts,bengaluru urban, ,2021,3,11321012
districts,pune, ,2021,3,7398336
districts,thane, ,2021,3,4597394
districts,jaipur, ,2021,3,4534297
districts,mumbai suburban, ,2021,3,4444495
districts,hyderabad, ,2021,3,3839513
districts,ahmadabad, ,2021,3,3445024
districts,rangareddy, ,2021,3,3310906
districts,north twenty four parganas, ,2021,3,2852030
districts,surat, ,2021,3,2830392
pincodes,201301, ,2021,3,618043
pincodes,110059, ,2021,3,520096
pincodes,560068, ,2021,3,486170
pincodes,421302, ,2021,3,456284
pincodes,500072, ,2021,3,425197
pincodes,122001, ,2021,3,412737
pincodes,110092, ,2021,3,409520
pincodes,110086, ,2021,3,357590
pincodes,121004, ,2021,3,352312
pincodes,560078, ,2021,3,346840
states,maharashtra, ,2021,4,45482506
states,uttar pradesh, ,2021,4,36617655
states,karnataka, ,2021,4,29459646
states,andhra pradesh, ,2021,4,22489029
states,rajasthan, ,2021,4,21977202
states,telangana, ,2021,4,20917649
states,west bengal, ,2021,4,20644527
states,tamil nadu, ,2021,4,20433142
states,madhya pradesh, ,2021,4,18456243
states,gujarat, ,2021,4,18139201
districts,bengaluru urban, ,2021,4,12038775
districts,pune, ,2021,4,7880431
districts,thane, ,2021,4,4906492
districts,jaipur, ,2021,4,4841883
districts,mumbai suburban, ,2021,4,4740546
districts,hyderabad, ,2021,4,4081185
districts,ahmadabad, ,2021,4,3679243
districts,rangareddy, ,2021,4,3523496
districts,north twenty four parganas, ,2021,4,3043008
districts,surat, ,2021,4,3026960
pincodes,201301, ,2021,4,659549
pincodes,110059, ,2021,4,555449
pincodes,560068, ,2021,4,517115
pincodes,421302, ,2021,4,488443
pincodes,500072, ,2021,4,451595
pincodes,122001, ,2021,4,440178
pincodes,110092, ,2021,4,436075
pincodes,110086, ,2021,4,382858
pincodes,121004, ,2021,4,376910
pincodes,560078, ,2021,4,368213
states,maharashtra, ,2021,1,37077537
states,uttar pradesh, ,2021,1,29482075
states,karnataka, ,2021,1,24095832
states,andhra pradesh, ,2021,1,18363733
states,rajasthan, ,2021,1,17661088
states,telangana, ,2021,1,17149069
states,west bengal, ,2021,1,16808799
states,tamil nadu, ,2021,1,16632608
states,madhya pradesh, ,2021,1,14839427
states,gujarat, ,2021,1,14670126
districts,bengaluru urban, ,2021,1,9955387
districts,pune, ,2021,1,6481971
districts,thane, ,2021,1,4014464
districts,jaipur, ,2021,1,3951866
districts,mumbai suburban, ,2021,1,3886500
districts,hyderabad, ,2021,1,3379663
districts,ahmadabad, ,2021,1,2999575
districts,rangareddy, ,2021,1,2906635
districts,north twenty four parganas, ,2021,1,2491076
districts,surat, ,2021,1,2458596
pincodes,201301, ,2021,1,541127
pincodes,110059, ,2021,1,454201
pincodes,560068, ,2021,1,427525
pincodes,421302, ,2021,1,396179
pincodes,500072, ,2021,1,375272
pincodes,122001, ,2021,1,361360
pincodes,110092, ,2021,1,359376
pincodes,110086, ,2021,1,310419
pincodes,121004, ,2021,1,306230
pincodes,560078, ,2021,1,305721
states,maharashtra, ,2018,2,8222371
states,uttar pradesh, ,2018,2,6442554
states,karnataka, ,2018,2,5030665
states,andhra pradesh, ,2018,2,4402540
states,telangana, ,2018,2,4260115
states,rajasthan, ,2018,2,4212964
states,west bengal, ,2018,2,3833795
states,gujarat, ,2018,2,3565825
states,madhya pradesh, ,2018,2,3441662
states,bihar, ,2018,2,3005872
districts,bengaluru urban, ,2018,2,2553312
districts,pune, ,2018,2,1592293
districts,jaipur, ,2018,2,1182983
districts,mumbai suburban, ,2018,2,957633
districts,thane, ,2018,2,861292
districts,hyderabad, ,2018,2,842483
districts,rangareddy, ,2018,2,804959
districts,ahmadabad, ,2018,2,751746
districts,medchal malkajgiri, ,2018,2,696211
districts,surat, ,2018,2,652372
pincodes,201301, ,2018,2,151073
pincodes,500072, ,2018,2,129543
pincodes,560068, ,2018,2,128921
pincodes,110059, ,2018,2,124901
pincodes,110092, ,2018,2,108175
pincodes,122001, ,2018,2,107275
pincodes,800001, ,2018,2,94711
pincodes,395006, ,2018,2,94500
pincodes,560037, ,2018,2,93771
pincodes,302012, ,2018,2,89071
states,maharashtra, ,2018,3,10435033
states,uttar pradesh, ,2018,3,8096483
states,karnataka, ,2018,3,6372649
states,andhra pradesh, ,2018,3,5427617
states,rajasthan, ,2018,3,5175453
states,telangana, ,2018,3,5138501
states,west bengal, ,2018,3,4851740
states,gujarat, ,2018,3,4433183
states,madhya pradesh, ,2018,3,4309309
states,tamil nadu, ,2018,3,3900177
districts,bengaluru urban, ,2018,3,3167597
districts,pune, ,2018,3,1974138
districts,jaipur, ,2018,3,1438305
districts,mumbai suburban, ,2018,3,1218632
districts,thane, ,2018,3,1104206
districts,hyderabad, ,2018,3,1024241
districts,rangareddy, ,2018,3,963186
districts,ahmadabad, ,2018,3,919252
districts,medchal malkajgiri, ,2018,3,828425
districts,surat, ,2018,3,808005
pincodes,201301, ,2018,3,188664
pincodes,110059, ,2018,3,156028
pincodes,500072, ,2018,3,152034
pincodes,560068, ,2018,3,151862
pincodes,110092, ,2018,3,136676
pincodes,122001, ,2018,3,130847
pincodes,395006, ,2018,3,113391
pincodes,302012, ,2018,3,107088
pincodes,560037, ,2018,3,106572
pincodes,800001, ,2018,3,106255
states,maharashtra, ,2018,4,13381602
states,uttar pradesh, ,2018,4,10341964
states,karnataka, ,2018,4,8315802
states,andhra pradesh, ,2018,4,6857409
states,telangana, ,2018,4,6529679
states,rajasthan, ,2018,4,6358738
states,west bengal, ,2018,4,6279278
states,gujarat, ,2018,4,5579040
states,madhya pradesh, ,2018,4,5365442
states,tamil nadu, ,2018,4,5199878
districts,bengaluru urban, ,2018,4,4126734
districts,pune, ,2018,4,2498852
districts,jaipur, ,2018,4,1733893
districts,mumbai suburban, ,2018,4,1578487
districts,thane, ,2018,4,1473811
districts,hyderabad, ,2018,4,1336872
districts,rangareddy, ,2018,4,1217664
districts,ahmadabad, ,2018,4,1212636
districts,medchal malkajgiri, ,2018,4,1056739
districts,surat, ,2018,4,998807
pincodes,201301, ,2018,4,250205
pincodes,110059, ,2018,4,206537
pincodes,560068, ,2018,4,201605
pincodes,110092, ,2018,4,177133
pincodes,500072, ,2018,4,175163
pincodes,122001, ,2018,4,163556
pincodes,560037, ,2018,4,137280
pincodes,800001, ,2018,4,134254
pincodes,110086, ,2018,4,133412
pincodes,110085, ,2018,4,132600
states,maharashtra, ,2018,1,6106994
states,uttar pradesh, ,2018,1,4694250
states,karnataka, ,2018,1,3717763
states,andhra pradesh, ,2018,1,3336450
states,telangana, ,2018,1,3315560
states,rajasthan, ,2018,1,3158202
states,gujarat, ,2018,1,2690048
states,west bengal, ,2018,1,2604789
states,madhya pradesh, ,2018,1,2553603
states,bihar, ,2018,1,2133804
districts,bengaluru urban, ,2018,1,1922368
districts,pune, ,2018,1,1211643
districts,jaipur, ,2018,1,900773
